<<<<<<< HEAD
2,Brush,Personal,Testing,High,12/08/2026,Done
3,Sumaya,Work,Testing the mic,Low,06/08/2026,Pending
4,Brush,Personal,Testing,High,12/08/2026,Done
5,Brush,Personal,Testing,High,12/08/2026,Done
=======
<<<<<<< HEAD
1,Finish Homework,Work,Complete math exercises,High,2026-08-07,Pending
2,Buy Groceries,Personal,Weekly shopping list,Medium,2026-08-08,Done
3,Gym Workout,Personal,Morning cardio session,High,2026-08-07,Pending
4,Call Mom,Personal,Check in with her,Low,2026-08-09,Pending
5,Project Report,Work,Write summary for meeting,High,2026-08-10,Pending
6,Pay Bills,Personal,Electricity and water payments,Medium,2026-08-08,Done
7,Clean Room,Personal,Tidy up bedroom,Low,2026-08-09,Pending
8,Doctor Appointment,Personal,Annual check-up,High,2026-08-12,Pending
9,Read Book,Personal,Finish current novel,Low,2026-08-15,Pending
10,Team Meeting,Work,Discuss project updates,Medium,2026-08-07,Done

=======
8,Cooking,Personal,Iyooh Andazi nto kalokhu,High,12/08/2026,Done
>>>>>>> update
>>>>>>> f536b89d98bc3e9d8e319d0169d0d652c9f43e80
